question_id,user_id,course_id,question,content,timestamp,priority,hide,hcp
846,196,0,"I typically find lunch on the go hardest to make low in carb, any ideas?",NULL,14/11/2015 17:32,NULL,0,0
847,196,2,What's the research for T1D and low carb?,NULL,14/11/2015 17:32,NULL,0,0
849,257,2,Can you reverse t 2diabetes,NULL,14/11/2015 18:58,NULL,0,0
851,293,0,How do you low carb on a budget?,NULL,14/11/2015 19:32,NULL,0,0
852,339,2,"I have found ham to be a staple when dieting, also smoked salmon. In view of new guidelines in removing processed meat or smoked meat, fish of cheese products what would uphold recommend",NULL,14/11/2015 20:54,NULL,0,0
853,355,2,Does it matter if I have got other medical problems?,NULL,14/11/2015 21:37,NULL,0,0
854,368,0,How low can a low carb diet go before it negatively effects hormone production like T3 levels?,NULL,14/11/2015 22:18,NULL,0,0
855,400,2,When can I see week 2,NULL,15/11/2015 00:21,NULL,0,0
856,466,2,Is there an app that lists the amount of carbohydrates in different foods? ,NULL,15/11/2015 05:39,NULL,0,0
857,465,2,My blood sugar it low a lot of the time will this low carb program help ,NULL,15/11/2015 05:41,NULL,0,0
858,472,0,Do you have to buy special food,NULL,15/11/2015 06:06,NULL,0,0
859,472,2,When does.it start,NULL,15/11/2015 06:11,NULL,0,0
860,472,2,Will I mpt be allowed certain things to eat,NULL,15/11/2015 06:13,NULL,0,0
861,507,2,I swim 3 times a week and at the moment only losing a half pound a week. It's so disheartening at times and gets me very down .,NULL,15/11/2015 07:38,NULL,0,0
863,543,0,I am also coeliac ,NULL,15/11/2015 07:55,NULL,0,0
864,539,2,Will it stop hunger pains and feeling Hunger,NULL,15/11/2015 08:03,NULL,0,0
865,539,2,How much weight do it let you looses a week,NULL,15/11/2015 08:05,NULL,0,0
866,539,2,How long can Iexercise with this diet to help loose wweight,NULL,15/11/2015 08:07,NULL,0,0
867,539,2,Are you gonna show the recipe for low carb each week,NULL,15/11/2015 08:08,NULL,0,0
868,539,2,And can I give you feed back to tell you how I'm  doing .,NULL,15/11/2015 08:10,NULL,0,0
869,592,2,How much weight will I lose over a one month period,NULL,15/11/2015 08:31,NULL,0,0
870,623,2,I do not need to lose weight is this diet ok for me?,NULL,15/11/2015 08:49,NULL,0,0
871,664,2,How do  I fair i have arthritis in my knees I cant do  much exercise. i walk as  much as I can ,NULL,15/11/2015 09:03,NULL,0,0
872,736,2,I have limited mobility and find excercising difficult,NULL,15/11/2015 10:10,NULL,0,0
873,293,0,How do you have a low carb breakfast when getting kids ready for school?,NULL,15/11/2015 10:16,NULL,0,0
874,783,2,What if GP is not interested?,NULL,15/11/2015 10:43,NULL,0,0
875,829,2,"The audio suggests that there is information in the downloads abut 
",NULL,15/11/2015 11:36,NULL,0,0
876,888,0,Will you show us what we need to eat for this low carb diet?,NULL,15/11/2015 12:59,NULL,0,0
877,973,2,I have a bowel problem and must have a high fibre diet ,NULL,15/11/2015 13:26,NULL,0,0
878,1003,0,"I have diverticulosis, hiatis hernia and ulcer its hard to find a diet that my body is happy with seems one thing happy upsets another Help PLEASE x x x",NULL,15/11/2015 13:58,NULL,0,0
879,1094,2,I go to weight Watchers will this help,NULL,15/11/2015 15:23,NULL,0,0
880,1090,2,I would like to know more about stevia. Is it recommended for use and how does it differ from other carbohydrates.,NULL,15/11/2015 15:37,NULL,0,0
881,1123,2,"Not Yer. However I have just given up visible sugar cakes, sweets etc with the exception of a little Dark Chocolate, Are vthere withdrawal symptoms or is it just craving.",NULL,15/11/2015 16:06,NULL,0,0
882,1139,0,Want to lose weight and not go on Insulin,NULL,15/11/2015 16:20,NULL,0,0
883,1166,2,Why did I only get 67% when I answered the three questions correctly ,NULL,15/11/2015 16:56,NULL,0,0
884,1194,2,Lunch ideas when at work,NULL,15/11/2015 17:13,NULL,0,0
885,1152,2,Quick lunch ideas when out shopping ,NULL,15/11/2015 18:44,NULL,0,0
887,1279,2,How much success have you had,NULL,15/11/2015 18:50,NULL,0,0
889,1325,2,"Keen  to get back to good blood glucose control, but previously needed to keep carbs to 20g a meal to  have good control?",NULL,15/11/2015 19:14,NULL,0,0
890,1358,2,Can anyone make Sainsburys stock low carb Livlife bread . It is brilliant for a low carb diet but hard to get and a Â£5 delivery charge if bought online .... I order 10 a time from Waitrose - not local,NULL,15/11/2015 20:01,NULL,0,0
891,1447,2,Does this work ice tried every  diet. ,NULL,15/11/2015 20:34,NULL,0,0
893,1659,2,What do I do next?,NULL,15/11/2015 21:19,NULL,0,0
894,1652,2,Would like to control by diet and no medication for as long as possible is this possible,NULL,15/11/2015 21:52,NULL,0,0
895,1893,0,who wrote this programme and who is the presenter,NULL,15/11/2015 22:22,NULL,0,0
898,1971,2,Which dried fruit is best?,NULL,15/11/2015 22:50,NULL,0,0
899,2065,2,I like bread I need alternative,NULL,15/11/2015 23:17,NULL,0,0
900,2144,0,What food is exactly low carb ,NULL,15/11/2015 23:55,NULL,0,0
901,2330,2,"are dates ok for a low carb diet when trying to reduce blood sugar levels?
",NULL,16/11/2015 03:27,NULL,0,0
902,2352,2,"How much % fibre, protein and fat is good whilst low carb, to prevent constipation",NULL,16/11/2015 04:26,NULL,0,0
903,2198,0,Can you give a list of meds that cause hypoglycemia ,NULL,16/11/2015 05:19,NULL,0,0
905,2383,2,How to lose weight? ,NULL,16/11/2015 05:19,NULL,0,0
906,2383,2,How to lower clostral? ,NULL,16/11/2015 05:20,NULL,0,0
907,2430,2,"I eat a lot of boiled or poached egg ,is that ok to do ?",NULL,16/11/2015 06:32,NULL,0,0
908,2596,2,"I do a lot of running and regularly run 8-10 miles and run half marathons, how can I carb load to keep the energy going but eat a low carb diet at the same time?",NULL,16/11/2015 08:20,NULL,0,0
909,2917,0,it keep's saying do a survey then when I click it it say's you have done the survey which I know I have and won't go any further,NULL,16/11/2015 12:51,NULL,0,0
913,2978,0,Which app is best for counting carbs?  Would like to more accurately keep a track.,NULL,16/11/2015 13:54,NULL,0,0
914,2842,2,I'm on low fat diet for cholesterol levels. Can I combine the two?,NULL,16/11/2015 14:19,NULL,0,0
915,1843,2,"I went reduced carb two weeks ago, and started haaving hypo's for the first time.  It would seem to be extremely important that T2D's do the Hypo Awareness course first, and have testing support.",NULL,16/11/2015 14:45,NULL,0,0
916,3038,2,How much protein and fat should I eat?,NULL,16/11/2015 14:59,NULL,0,0
917,3048,2,"do you have some meal ideas to try to start with
",NULL,16/11/2015 15:23,NULL,0,0
918,2917,0,it keep's saying do a survey then when I click it it say's you have done the survey which I know I have and won't go any further,NULL,16/11/2015 17:11,NULL,0,0
919,1961,2,How do I get the balance right on what to eat,NULL,16/11/2015 18:55,NULL,0,0
921,3230,2,Do you have some meal ideas,NULL,16/11/2015 19:30,NULL,0,0
922,2602,0,I have done a lot of what the course is about and would like to work through all the course in a few days as I want to understand more about the weight loss aspect which I haven't got right. ,NULL,16/11/2015 20:15,NULL,0,0
923,3107,0,"I struggle with a sweet tooth, are there alternatives for this? ",NULL,16/11/2015 20:36,NULL,0,0
924,365,2,how do you proceed on this or do you have to do it week by week ...and why is it so difficult to find !!!!!,NULL,16/11/2015 22:44,NULL,0,0
925,293,2,How does this work when you are a vegetarian?,NULL,17/11/2015 04:44,NULL,0,0
927,3410,2,Is this low carb low fat ot s this low carb high fat? ,NULL,17/11/2015 09:22,NULL,0,0
929,3454,0,I struggle with lots of foods as I'm allergic to onions and most recepies are onion based which is annoying.  What can I use instead for flavour.,NULL,17/11/2015 10:45,NULL,0,0
932,3467,2,How much can I safely lose,NULL,17/11/2015 11:04,NULL,0,0
933,3432,2,I am a very motivated person but stress dose not help my blood sugar.,NULL,17/11/2015 11:29,NULL,0,0
934,3505,2,How does it effect energy levels.,NULL,17/11/2015 11:57,NULL,0,0
935,3585,2,I always feel hungry if I don't eat carbs. How do I combat the hunger pangs?,NULL,17/11/2015 14:08,NULL,0,0
937,1358,2,"Been on low carbs for 2 mths. Spoken to GP who reduced gliclazide, previously increased due to high Hba1c. Happy on my L C diet but my stomach skin from loss of weight looks awful - can I do anything ",NULL,17/11/2015 14:40,NULL,0,0
938,3610,2,Do I get a diet to follow,NULL,17/11/2015 14:43,NULL,0,0
939,3610,2,Will I be able to sleep better,NULL,17/11/2015 14:44,NULL,0,0
940,3610,2,Is it easy to follow,NULL,17/11/2015 14:45,NULL,0,0
942,3642,2,"I crave sweet things, what can I do?",NULL,17/11/2015 15:44,NULL,0,0
943,3620,2,I am prediabetic.  I would like to make the necessary changes to ensure that I don't become diabetic. Can I get a test kit?,NULL,17/11/2015 17:20,NULL,0,0
944,3762,2,Will it affect my mood ,NULL,17/11/2015 17:39,NULL,0,0
